PWSID,PWS_Name,Counties_Served,Primacy_FINAL,Final_inst_update,Inst_Subtype,ancillary,public,enfranchisement,Variablecoded,enfranchisement_final,SERVICE_CONNECTIONS,POPULATION,MHI,CALENVIRO_SCREEN_SCORE,FINAL_SAFER_STATUS,PRIMARY_MCL_VIOLATION,SECONDARY_MCL_VIOLATION,E_COLI_VIOLATION,TREATMENT_TECHNIQUE_VIOLATION,MONITORING_AND_REPORTING_VIOLATION,WEIGHTED_WATER_QUALITY_SCORE,WEIGHTED_ACCESSIBILITY_SCORE,WEIGHTED_AFFORDABILITY_SCORE,WEIGHTED_TMF_CAPACITY_SCORE,FUNDING_RECEIVED_SINCE_2017,Total_risk,CURRENT_FAILING,PERCENT_OF_MEDIAN_HOUSEHOLD_INCOME_MHI_RAW_SCORE,EXTREME_WATER_BILL_RAW_SCORE,HOUSEHOLD_SOCIOECONOMIC_BURDEN_RAW_SCORE,Intend.to.apply.,Application.complete.,FundingYorN,Type,Primary.Source.Water.Type,Source,Purchased,LN_POP
CA2300892,COVELO MOBILE HOME PARK,Mendocino,DISTRICT 03 - MENDOCINO,Mobile Home Park,NA,No,No,None,NA,None,30,30,37293,14.83045898,Not At-Risk,NO,NO,NO,NO,NO,0,0.33,0.67,0,0,1,Not Failing,0,0,1,Did not complete survey,No,No,C,GW,GW,Self-produced,3.4339872044851463
CA2300717,CREEKSIDE CABINS & RV RESORT,Mendocino,DISTRICT 03 - MENDOCINO,Mobile Home Park,NA,No,No,None,NA,None,55,124,49098,25.78652933,Potentially At-Risk,NO,NO,NO,NO,NO,0,1.5,0.33,1,0,2.83,Not Failing,0,0,0.5,Did not complete survey,No,No,C,GW,GW,Self-produced,4.8283137373023015
CA2300743,DOLPHIN ISLE MARINA,Mendocino,DISTRICT 03 - MENDOCINO,Mobile Home Park,NA,No,No,None,NA,None,86,560,51488.0766,24.03625792,At-Risk,NO,NO,NO,NO,NO,0,2,0.67,0.67,0,3.34,Not Failing,0,0,1,Did not complete survey,No,No,C,GW,GW,Self-produced,6.329720905522696
CA1700609,LAZY S MOBILE RANCH,Lake,DISTRICT 03 - MENDOCINO,Mobile Home Park,NA,No,No,None,NA,None,24,73,31577,15.71503619,Failing,YES,NO,NO,NO,YES,0.75,1.33,0,1.67,0,3.75,Failing,0,0,0,Did not complete survey,No,No,C,SW,SW,Self-produced,4.30406509320417
CA2300705,LITTLE LAKE MOBILE HOME PARK,Mendocino,DISTRICT 03 - MENDOCINO,Mobile Home Park,NA,No,No,None,NA,None,20,38,77585,27.8453648,Not At-Risk,NO,NO,NO,NO,NO,0.25,1.5,0.33,0.17,0,2.25,Not Failing,0,0,0.5,No,No,No,C,GW,GW,Self-produced,3.6635616461296463
CA1700580,TWIN CREEKS MOBILE AND RV VILLAGE,Lake,DISTRICT 03 - MENDOCINO,Mobile Home Park,NA,No,No,None,NA,None,17,50,NA,NA,Potentially At-Risk,NO,NO,NO,NO,NO,0.25,1.33,0.33,1,0,2.91,Not Failing,0,0,0.5,Did not complete survey,No,No,C,GW,GW,Self-produced,3.9318256327243257
CA1700674,WALNUT COVE MOBILE ESTATES,Lake,DISTRICT 03 - MENDOCINO,Mobile Home Park,NA,No,No,None,NA,None,60,200,40774,13.25802047,Not At-Risk,NO,NO,NO,NO,NO,0,1.5,0,0.67,0,2.17,Not Failing,0,0,0,Did not complete survey,No,No,C,GW,GW,Self-produced,5.303304908059076
CA1700584,WESTWIND MOBILE HOME PARK,Lake,DISTRICT 03 - MENDOCINO,Mobile Home Park,NA,No,No,None,NA,None,38,104,105238,13.25802047,Potentially At-Risk,NO,NO,NO,NO,NO,0.25,1.33,0,1,0,2.58,Not Failing,NA,NA,0,Did not complete survey,No,No,C,SW,SW,Self-produced,4.653960350157523
CA2300638,WILDWOOD CAMPGROUND,Mendocino,DISTRICT 03 - MENDOCINO,Mobile Home Park,NA,No,No,None,NA,None,50,150,32404,16.6449212,At-Risk,NO,NO,NO,NO,NO,0.38,3,0.33,1.67,0,5.38,Not Failing,0,0,0.5,Did not complete survey,No,No,C,GW,GW,Self-produced,5.017279836814924
CA2300644,WOODSIDE RV PARK,Mendocino,DISTRICT 03 - MENDOCINO,Mobile Home Park,NA,No,No,None,NA,None,114,280,56648,15.37579702,At-Risk,NO,NO,NO,NO,NO,0,1.33,0.67,0.17,0,2.17,Not Failing,0,0,1,Did not complete survey,No,No,C,GU,GW,Self-produced,5.638354669333745
CA4800564,HIDDEN ACRES TRAILER VILLA,Solano,DISTRICT 04 - SAN FRANCISCO,Mobile Home Park,NA,No,No,None,NA,None,54,80,78742.51891,9.073045554,Not At-Risk,NO,NO,NO,NO,NO,0.25,0.33,0,0,0,0.58,Not Failing,0,0,0,Did not complete survey,No,No,C,GW,GW,Self-produced,4.394449154672439
CA0103041,TRAILER HAVEN MOBILE HOME PARK,Alameda,DISTRICT 04 - SAN FRANCISCO,Mobile Home Park,NA,No,No,None,NA,None,191,459,47139,31.38497124,Not At-Risk,NO,NO,NO,NO,NO,0,0,0.67,0.67,0,1.34,Not Failing,0,0,1,Did not complete survey,No,No,C,SWP,SW,Purchased,6.131226489483141
CA4800753,VINEYARD RV PARK,Solano,DISTRICT 04 - SAN FRANCISCO,Mobile Home Park,NA,No,No,None,NA,None,360,550,109750,28.56863975,Not At-Risk,NO,NO,NO,NO,NO,0,0.33,0,0,0,0.33,Not Failing,0,0,0,Did not complete survey,No,No,C,GW,GW,Self-produced,6.311734809152915
CA3500836,BETABEL RV RESORT,San Benito,DISTRICT 05 - MONTEREY,Mobile Home Park,NA,No,No,None,NA,None,176,49,93750,33.15539819,Not At-Risk,NO,NO,NO,NO,NO,0.25,1.33,0,0.67,0,2.25,Not Failing,0,0,0,Did not complete survey,No,No,C,GW,GW,Self-produced,3.912023005428146
CA3500556,MISSION FARM R.V. PARK,San Benito,DISTRICT 05 - MONTEREY,Mobile Home Park,NA,No,No,None,NA,None,173,110,41580,26.49810293,Not At-Risk,NO,NO,NO,NO,NO,0,0,0,1,0,1,Not Failing,0,0,0,Did not complete survey,No,No,C,GW,GW,Self-produced,4.709530201312334
CA3510006,MISSION OAKS MOBILE HOME PARK,San Benito,DISTRICT 05 - MONTEREY,Mobile Home Park,NA,No,No,None,NA,None,238,550,107000,22.56061819,Not At-Risk,NO,NO,NO,NO,NO,0,0,0.33,1,0,1.33,Not Failing,0,0,0.5,Did not complete survey,No,No,C,GW,GW,Self-produced,6.311734809152915
CA3500505,THOUSAND TRAILS SAN BENITO PRESERVE,San Benito,DISTRICT 05 - MONTEREY,Mobile Home Park,NA,No,No,None,NA,None,365,1025,92250,23.48832394,Not At-Risk,NO,NO,NO,NO,NO,0.92,0.5,0,0,0,1.42,Not Failing,0,0,0,Did not complete survey,No,No,C,GW,GW,Self-produced,6.933423025730715
CA5601106,ALTURAS FILLMORE MHP,Ventura,DISTRICT 06 - SANTA BARBARA,Mobile Home Park,NA,No,No,None,NA,None,33,99,44828,25.60090352,Potentially At-Risk,NO,NO,NO,NO,NO,0,2.33,0.33,0,0,2.66,Not Failing,0,0,0.5,No,No,No,C,GW,GW,Self-produced,4.605170185988092
CA4000650,MESA DUNES MOBILE HOME ESTATES,San Luis Obispo,DISTRICT 06 - SANTA BARBARA,Mobile Home Park,NA,No,No,None,NA,None,313,600,85000,17.24156873,Not At-Risk,NO,NO,NO,NO,NO,0,0.33,0,0.83,0,1.16,Not Failing,0,0,0,No,No,No,C,GW,GW,Self-produced,6.398594934535208
CA5602110,NAVALAIR MOBILE HOME PARK,Ventura,DISTRICT 06 - SANTA BARBARA,Mobile Home Park,NA,No,No,None,NA,None,52,160,63125,48.17814746,Failing,NO,YES,NO,NO,NO,0.5,2,0.67,1,0,4.17,Failing,0,0,1,Did not complete survey,No,No,C,GW,GW,Self-produced,5.081404364984463
CA5602109,SIESTA MOBILE HOME PARK,Ventura,DISTRICT 06 - SANTA BARBARA,Mobile Home Park,NA,No,No,None,NA,None,26,160,63125,48.17814746,Failing,NO,YES,NO,NO,NO,0.75,2,0.67,1,0,4.42,Failing,0,0,1,Did not complete survey,No,No,C,GW,GW,Self-produced,5.081404364984463
CA3410022,OLYMPIA MOBILODGE,Sacramento,DISTRICT 09 - SACRAMENTO,Mobile Home Park,NA,No,No,None,NA,None,200,450,22000,44.6717761,Not At-Risk,NO,NO,NO,NO,NO,0,0.33,0.67,0.33,0,1.33,Not Failing,0,0,1,Did not complete survey,No,No,C,GW,GW,Self-produced,6.111467339502679
CA0300024,FOREST POINT MHC,Amador,DISTRICT 10 - STOCKTON,Mobile Home Park,NA,No,No,None,NA,None,22,62,NA,NA,Not At-Risk,NO,NO,NO,NO,NO,0.25,1.5,0.33,0,0,2.08,Not Failing,0,0,0.5,Did not complete survey,No,No,C,GW,GW,Self-produced,4.143134726391533
CA0300053,RANCHO DEL ORO MHP,Amador,DISTRICT 10 - STOCKTON,Mobile Home Park,NA,No,No,None,NA,None,24,44,48250,17.66472949,At-Risk,NO,NO,NO,NO,NO,1.5,1.5,0,1,0,4,Not Failing,0,0,0,No,No,No,C,GW,GW,Self-produced,3.8066624897703196
CA3910020,STOCKTON VERDE MOBILE HOME PARK,San Joaquin,DISTRICT 10 - STOCKTON,Mobile Home Park,NA,No,No,None,NA,None,293,691,24615,34.46906999,Not At-Risk,NO,NO,NO,NO,NO,0.25,1,1.08,0,0,2.33,Not Failing,0.75,0,0.5,Did not complete survey,No,No,C,GW,GW,Self-produced,6.539585955617669
CA0300011,SUTTER PINES MHP,Amador,DISTRICT 10 - STOCKTON,Mobile Home Park,NA,No,No,None,NA,None,20,40,37171,19.63359158,Not At-Risk,NO,NO,NO,NO,NO,0,1.33,0.33,0.67,0,2.33,Not Failing,0,0,0.5,Did not complete survey,No,No,C,GU,GW,Self-produced,3.713572066704308
CA5500120,49ER TRAILER RANCH,Tuolumne,DISTRICT 11 - MERCED,Mobile Home Park,NA,No,No,None,NA,None,80,115,NA,NA,Not At-Risk,NO,NO,NO,NO,NO,0,0,1.67,0.33,0,2,Not Failing,1,1,0.5,No,No,No,C,GW,GW,Self-produced,4.7535901911063645
CA5500104,CASCADE ESTATES,Tuolumne,DISTRICT 11 - MERCED,Mobile Home Park,NA,No,No,None,NA,None,113,316,93063,27.43920182,Not At-Risk,NO,NO,NO,NO,NO,0,0,0,0.67,0,0.67,Not Failing,0,0,0,No,No,No,C,GW,GW,Self-produced,5.75890177387728
CA5500149,COLUMBIA MOBILE HOME PARK,Tuolumne,DISTRICT 11 - MERCED,Mobile Home Park,NA,No,No,None,NA,None,63,89,NA,NA,Not At-Risk,NO,NO,NO,NO,NO,0,2,0.33,0,0,2.33,Not Failing,0,0,0.5,Did not complete survey,No,No,C,GW,GW,Self-produced,4.499809670330265
CA2400053,EL NIDO MOBILE HOME PARK,Merced,DISTRICT 11 - MERCED,Mobile Home Park,NA,No,No,None,NA,None,50,137,36875.51467,45.53086226,At-Risk,NO,NO,NO,NO,NO,2,1,0.33,1,0,4.33,Not Failing,0,0,0.5,Did not complete survey,No,No,C,GW,GW,Self-produced,4.927253685157205
CA2400084,EVERGREEN MOBILE HOME PARK,Merced,DISTRICT 11 - MERCED,Mobile Home Park,NA,No,No,None,NA,None,11,36,34480,40.86694277,Failing,YES,NO,NO,NO,NO,2.5,3.67,0.33,1,0,7.5,Failing,0,0,0.5,Did not complete survey,No,No,C,GW,GW,Self-produced,3.6109179126442243
CA5500128,GOLD RUSH MOBILE HOME PARK,Tuolumne,DISTRICT 11 - MERCED,Mobile Home Park,NA,No,No,None,NA,None,53,67,9578,19.15665618,Not At-Risk,NO,NO,NO,NO,NO,0,0.33,1.67,0,0,2,Not Failing,1,0,1,No,No,No,C,GU,GW,Self-produced,4.219507705176107
CA5500124,MONO VISTA RANCH MHP,Tuolumne,DISTRICT 11 - MERCED,Mobile Home Park,NA,No,No,None,NA,None,30,105,67717,24.46314448,Not At-Risk,NO,NO,NO,NO,NO,0,1.5,0,0,0,1.5,Not Failing,0,0,0,Did not complete survey,No,No,C,GW,GW,Self-produced,4.663439094112067
CA5500125,MOTHER LODE MOBILE ESTATES,Tuolumne,DISTRICT 11 - MERCED,Mobile Home Park,NA,No,No,None,NA,None,75,210,34255,24.46314448,Not At-Risk,NO,NO,NO,NO,NO,0.25,0,0,0.67,0,0.92,Not Failing,0,0,0,Did not complete survey,No,No,C,GW,GW,Self-produced,5.351858133476067
CA5500116,PEPPERMINT CREEK MHP,Tuolumne,DISTRICT 11 - MERCED,Mobile Home Park,NA,No,No,None,NA,None,101,280,85436,27.43920182,Failing,NO,NO,NO,NO,YES,0,1.33,0.33,1.5,0,3.16,Failing,0,0,0.5,Did not complete survey,No,No,C,SW,SW,Self-produced,5.638354669333745
CA5500092,PONDEROSA MOBILE HOME PARK,Tuolumne,DISTRICT 11 - MERCED,Mobile Home Park,NA,No,No,None,NA,None,58,52,38912,12.21097423,Not At-Risk,NO,NO,NO,NO,NO,0,0.5,0.33,1,0,1.83,Not Failing,0,0,0.5,No,No,No,C,GW,GW,Self-produced,3.970291913552122
CA5500243,RAMBLING HILLS ESTATES,Tuolumne,DISTRICT 11 - MERCED,Mobile Home Park,NA,No,No,None,NA,None,38,78,81442,19.15665618,Not At-Risk,NO,NO,NO,NO,NO,0,0.33,0.33,0.67,0,1.33,Not Failing,0,0,0.5,Did not complete survey,No,No,C,GW,GW,Self-produced,4.3694478524670215
CA5500096,SIERRA TWAIN HARTE MHP,Tuolumne,DISTRICT 11 - MERCED,Mobile Home Park,NA,No,No,None,NA,None,46,129,39910.54921,12.21097423,Not At-Risk,NO,NO,NO,NO,NO,0.25,0.33,0.33,0,0,0.91,Not Failing,0,0,0.5,Did not complete survey,No,No,C,GW,GW,Self-produced,4.867534450455582
CA5500353,SIERRA VILLAGE MOBILE HOME PARK,Tuolumne,DISTRICT 11 - MERCED,Mobile Home Park,NA,No,No,None,NA,None,30,30,NA,NA,Failing,NO,YES,NO,NO,NO,0.5,2,0,0.5,0,3,Failing,0,0,0,Did not complete survey,No,No,C,GW,GW,Self-produced,3.4339872044851463
CA5500086,SONORA ESTATES MOBILE HOME PARK,Tuolumne,DISTRICT 11 - MERCED,Mobile Home Park,NA,No,No,None,NA,None,87,231,34255,24.46314448,Not At-Risk,NO,NO,NO,NO,NO,0,0.33,0.75,0.67,0,1.75,Not Failing,0.75,0,0,Did not complete survey,No,No,C,GW,GW,Self-produced,5.44673737166631
CA5500115,SUGAR PINE RV RESORT,Tuolumne,DISTRICT 11 - MERCED,Mobile Home Park,NA,No,No,None,NA,None,87,244,102803,11.77977253,Potentially At-Risk,NO,NO,NO,NO,NO,0,2,0,0.67,0,2.67,Not Failing,0,0,0,Did not complete survey,No,No,C,GW,GW,Self-produced,5.501258210544727
CA5500193,TAMARRON MOBILE HOME PARK,Tuolumne,DISTRICT 11 - MERCED,Mobile Home Park,NA,No,No,None,NA,None,100,225,34255,24.46314448,Not At-Risk,NO,NO,NO,NO,NO,0,0,0,0.67,0,0.67,Not Failing,0,0,0,Did not complete survey,No,No,C,GW,GW,Self-produced,5.420534999272286
CA1500452,RIVERDALE VILLAGE,Kern,DISTRICT 12 - VISALIA,Mobile Home Park,NA,No,No,None,NA,None,336,750,12545.98451,54.23048502,Not At-Risk,NO,NO,NO,NO,NO,0,0.67,0.67,0.33,0,1.67,Not Failing,0,0,1,Did not complete survey,No,No,C,GW,GW,Self-produced,6.621405651764134
CA1400030,GLENWOOD MOBILE ESTATES,Inyo,DISTRICT 13 - SAN BERNARDINO,Mobile Home Park,NA,No,No,None,NA,None,167,448,32123,10.62116256,Not At-Risk,NO,NO,NO,NO,NO,0.25,0.33,0.67,0.67,0,1.92,Not Failing,0,0,1,Did not complete survey,No,No,C,GW,GW,Self-produced,6.1070228877422545
CA1410007,HIGHLAND MOBILE HOME PARK,Inyo,DISTRICT 13 - SAN BERNARDINO,Mobile Home Park,NA,No,No,None,NA,None,500,1400,38270.28961,10.62116256,Not At-Risk,NO,NO,NO,NO,NO,0,0.33,0.67,1,0,2,Not Failing,0,0,1,Did not complete survey,No,No,C,GW,GW,Self-produced,7.244941546337007
CA1400144,SUNLAND VILLAGE MOBILE HOME PARK,Inyo,DISTRICT 13 - SAN BERNARDINO,Mobile Home Park,NA,No,No,None,NA,None,26,73,91603,7.545935143,Not At-Risk,NO,NO,NO,NO,NO,0,1.33,0,0.67,0,2,Not Failing,0,0,0,Did not complete survey,No,No,C,GW,GW,Self-produced,4.30406509320417
CA1400059,BROOKSIDE MOBILE HOME PARK,Inyo,DISTRICT 13 - SAN BERNARDINO,Mobile Home Park,NA,No,No,None,NA,None,45,126,91603,7.545935143,Not At-Risk,NO,NO,NO,NO,NO,0,0.33,0,0.67,0,1,Not Failing,0,0,0,Did not complete survey,No,No,C,GW,GW,Self-produced,4.844187086458591
CA3700962,OAKVALE PARK,San Diego,DISTRICT 14 - SAN DIEGO,Mobile Home Park,NA,No,No,None,NA,None,70,190,76635,17.50931357,Not At-Risk,NO,NO,NO,NO,NO,0.38,0.33,0,1.67,0,2.38,Not Failing,0,0,0,Did not complete survey,No,No,C,GW,GW,Self-produced,5.25227342804663
CA1910099,PARADISE RANCH MHP,Los Angeles,DISTRICT 15 - METROPOLITAN,Mobile Home Park,NA,No,No,None,NA,None,95,360,85568,17.98735122,Potentially At-Risk,NO,NO,NO,NO,NO,1.5,0.33,0.33,1,0,3.16,Not Failing,0,0,0.5,No,No,No,C,GW,GW,Self-produced,5.8888779583328805
CA4300994,COYOTE VALLEY RV RESORT,Santa Clara,DISTRICT 17 - SANTA CLARA,Mobile Home Park,NA,No,No,None,NA,None,202,500,76103,19.0004409,Not At-Risk,NO,NO,NO,NO,NO,0,1.33,0,0.67,0,2,Not Failing,0,0,0,Did not complete survey,No,No,C,GW,GW,Self-produced,6.2166061010848646
CA4300603,OAK DELL PARK,Santa Clara,DISTRICT 17 - SANTA CLARA,Mobile Home Park,NA,No,No,None,NA,None,53,104,137500,24.41893132,Potentially At-Risk,NO,NO,NO,NO,NO,0.5,2,0,0,0,2.5,Not Failing,0,0,0,Did not complete survey,No,No,C,GW,GW,Self-produced,4.653960350157523
CA4300924,PARKWAY LAKES RV PARK,Santa Clara,DISTRICT 17 - SANTA CLARA,Mobile Home Park,NA,No,No,None,NA,None,121,250,76103,19.0004409,Not At-Risk,NO,NO,NO,NO,NO,0,1.33,0,0.17,0,1.5,Not Failing,0,0,0,Did not complete survey,No,No,C,GW,GW,Self-produced,5.5254529391317835
CA4300615,THOUSAND TRAILS - MORGAN HILL,Santa Clara,DISTRICT 17 - SANTA CLARA,Mobile Home Park,NA,No,No,None,NA,None,321,508,232708,8.371000159,Not At-Risk,NO,NO,NO,NO,NO,0,1.33,0,0.67,0,2,Not Failing,0,0,0,Did not complete survey,No,No,C,GW,GW,Self-produced,6.2324480165505225
CA4300999,UVAS PINES RV PARK,Santa Clara,DISTRICT 17 - SANTA CLARA,Mobile Home Park,NA,No,No,None,NA,None,43,49,124997.2655,8.371000159,Not At-Risk,NO,NO,NO,NO,NO,0,2,0,0,0,2,Not Failing,0,0,0,Did not complete survey,No,No,C,GW,GW,Self-produced,3.912023005428146
CA4900789,BLUE SPRUCE MOBILE HOME PARK,Sonoma,DISTRICT 18 - SONOMA,Mobile Home Park,NA,No,No,None,NA,None,56,90,47309,12.59963275,Potentially At-Risk,NO,NO,NO,NO,NO,0.25,1.33,0.67,0.33,0,2.58,Not Failing,0,0,1,Did not complete survey,No,No,C,GW,GW,Self-produced,4.51085950651685
CA4900644,BRIDGEHAVEN PARK,Sonoma,DISTRICT 18 - SONOMA,Mobile Home Park,NA,No,No,None,NA,None,31,70,66894,12.91640531,Potentially At-Risk,NO,NO,NO,NO,NO,0.75,0.33,0.33,1.67,0,3.08,Not Failing,0,0,0.5,No,No,No,C,SW,SW,Self-produced,4.2626798770413155
CA4900687,BROOKWOOD MOBILE HOME PARK,Sonoma,DISTRICT 18 - SONOMA,Mobile Home Park,NA,No,No,None,NA,None,202,400,32083,8.229184813,Not At-Risk,NO,NO,NO,NO,NO,0,0,0.33,1,0,1.33,Not Failing,0,0,0.5,Did not complete survey,No,No,C,GW,GW,Self-produced,5.993961427306569
CA4900721,COLONIAL PARK,Sonoma,DISTRICT 18 - SONOMA,Mobile Home Park,NA,No,No,None,NA,None,194,342,30660,15.18465797,Potentially At-Risk,NO,NO,NO,NO,NO,1.75,0.33,0.33,0.33,0,2.74,Not Failing,0,0,0.5,No,No,No,C,GW,GW,Self-produced,5.8377304471659395
CA4900799,EL PORTAL MOBILE ESTATES,Sonoma,DISTRICT 18 - SONOMA,Mobile Home Park,NA,No,No,None,NA,None,122,200,NA,NA,At-Risk,NO,NO,NO,NO,NO,2,0.33,2,0.83,80294.57,5.16,Not Failing,NA,NA,1,No,No,Yes,C,GW,GW,Self-produced,5.303304908059076
CA4900728,EVERGREEN MOBILE ESTATES,Sonoma,DISTRICT 18 - SONOMA,Mobile Home Park,NA,No,No,None,NA,None,23,75,118351,22.8010307,Not At-Risk,NO,NO,NO,NO,NO,0.75,1.33,0,0,0,2.08,Not Failing,0,0,0,Did not complete survey,No,No,C,GW,GW,Self-produced,4.330733340286331
CA4900832,LEISURE MOBILE HOME PARK,Sonoma,DISTRICT 18 - SONOMA,Mobile Home Park,NA,No,No,None,NA,None,186,410,82500,24.40448519,Not At-Risk,NO,NO,NO,NO,NO,0,0.33,1,0.33,0,1.66,Not Failing,NA,NA,0.5,No,No,No,C,GW,GW,Self-produced,6.018593214496234
CA4900720,MOBILE HOME ESTATES,Sonoma,DISTRICT 18 - SONOMA,Mobile Home Park,NA,No,No,None,NA,None,150,210,71579,15.18465797,Failing,NO,NO,NO,NO,YES,0.5,1.33,0.33,0.67,0,2.83,Failing,0,0,0.5,Did not complete survey,No,No,C,GW,GW,Self-produced,5.351858133476067
CA4900798,"MOUNTAIN VIEW MOBILE ESTATES, LLC",Sonoma,DISTRICT 18 - SONOMA,Mobile Home Park,NA,No,No,None,NA,None,111,250,44844,39.15194128,At-Risk,NO,NO,NO,NO,NO,1.5,1.33,0.67,1,0,4.5,Not Failing,0,0,1,No,No,No,C,GW,GW,Self-produced,5.5254529391317835
CA4900797,NORTH STAR MOBILE HOME PARK,Sonoma,DISTRICT 18 - SONOMA,Mobile Home Park,NA,No,No,None,NA,None,79,221,46149,39.15194128,Not At-Risk,NO,NO,NO,NO,NO,0,1.33,0.67,0,0,2,Not Failing,0,0,1,No,No,No,C,GW,GW,Self-produced,5.402677381872279
CA4900674,PINE HILL TERRACE MOBILE HOME PARK,Sonoma,DISTRICT 18 - SONOMA,Mobile Home Park,NA,No,No,None,NA,None,23,27,100638,11.72559622,Not At-Risk,NO,NO,NO,NO,NO,0,1.33,0,0.67,0,2,Not Failing,0,0,0,Did not complete survey,No,No,C,GW,GW,Self-produced,3.332204510175204
CA4900787,PLAZA MOBILE HOME PARK,Sonoma,DISTRICT 18 - SONOMA,Mobile Home Park,NA,No,No,None,NA,None,71,125,46149,39.15194128,Not At-Risk,NO,NO,NO,NO,NO,0,0.33,0.67,1,97907.5,2,Not Failing,0,0,1,Did not complete survey,No,Yes,C,GW,GW,Self-produced,4.836281906951478
CA4900600,RINCON VALLEY MOBILE ESTATES,Sonoma,DISTRICT 18 - SONOMA,Mobile Home Park,NA,No,No,None,NA,None,230,460,37444,8.451335099,Not At-Risk,NO,NO,NO,NO,NO,0,0.33,0.33,1,0,1.66,Not Failing,0,0,0.5,Did not complete survey,No,No,C,GW,GW,Self-produced,6.133398042996649
CA4900675,ROSELAND MOBILE HOME PARK,Sonoma,DISTRICT 18 - SONOMA,Mobile Home Park,NA,No,No,None,NA,None,70,130,21042,40.07927011,Not At-Risk,NO,NO,NO,NO,NO,0.25,0.33,0.67,0.67,0,1.92,Not Failing,0,0,1,Did not complete survey,No,No,C,GW,GW,Self-produced,4.875197323201151
CA4900796,SANTA ROSA MOBILE ESTATES,Sonoma,DISTRICT 18 - SONOMA,Mobile Home Park,NA,No,No,None,NA,None,141,420,77898,39.15194128,At-Risk,NO,NO,NO,NO,NO,2,0.33,0.67,0.67,0,3.67,Not Failing,0,0,1,Did not complete survey,No,No,C,GW,GW,Self-produced,6.042632833682381
CA4900723,SHAMROCK MOBILE HOME PARK,Sonoma,DISTRICT 18 - SONOMA,Mobile Home Park,NA,No,No,None,NA,None,127,188,65216,10.07986311,At-Risk,NO,NO,NO,NO,NO,1.75,1.33,0,1,0,4.08,Not Failing,0,0,0,Did not complete survey,No,No,C,GW,GW,Self-produced,5.241747015059643
CA4900795,STONEGATE MOBILE HOME PARK,Sonoma,DISTRICT 18 - SONOMA,Mobile Home Park,NA,No,No,None,NA,None,70,196,74432,20.79592688,Failing,NO,YES,NO,NO,NO,2,1.33,0,0,0,3.33,Failing,0,0,0,Did not complete survey,No,No,C,GW,GW,Self-produced,5.2832037287379885
CA4900792,WAYSIDE GARDENS MOBILE HOME PARK,Sonoma,DISTRICT 18 - SONOMA,Mobile Home Park,NA,No,No,None,NA,None,50,75,13304,39.15194128,Not At-Risk,NO,NO,NO,NO,NO,0,0.33,0.67,1,0,2,Not Failing,0,0,1,No,No,No,C,GW,GW,Self-produced,4.330733340286331
CA4900791,WESTERN MOBILE HOME PARK,Sonoma,DISTRICT 18 - SONOMA,Mobile Home Park,NA,No,No,None,NA,None,73,225,44844,39.15194128,At-Risk,NO,NO,NO,NO,NO,1.88,0.33,0.67,1,81958.45,3.88,Not Failing,0,0,1,Did not complete survey,No,Yes,C,GW,GW,Self-produced,5.420534999272286
CA1500485,ANTELOPE VALLEY MOBILE ESTATES,Kern,DISTRICT 19 - TEHACHAPI,Mobile Home Park,NA,No,No,None,NA,None,28,60,7418,28.76105686,Not At-Risk,NO,NO,NO,NO,NO,1.5,0.33,0.33,0,48812.56,2.16,Not Failing,0,0,0.5,Did not complete survey,No,Yes,C,GW,GW,Self-produced,4.110873864173311
CA1502247,DESERT BREEZE MOBILE HOME ESTATES,Kern,DISTRICT 19 - TEHACHAPI,Mobile Home Park,NA,No,No,None,NA,None,63,82,1464,37.90014753,Failing,YES,NO,NO,NO,NO,2.5,1.33,0.33,0.67,109828.27,4.83,Failing,0,0,0.5,Did not complete survey,No,Yes,C,GW,GW,Self-produced,4.418840607796598
CA1500461,FOUNTAIN TRAILER PARK WATER,Kern,DISTRICT 19 - TEHACHAPI,Mobile Home Park,NA,No,No,None,NA,None,33,68,41726,41.23572605,Failing,YES,NO,NO,NO,YES,2,3,0.33,2.67,0,8,Failing,0,0,0.5,Did not complete survey,No,No,C,GW,GW,Self-produced,4.23410650459726
CA1500459,LAKE OF THE WOODS MOBILE VILLAGE,Kern,DISTRICT 19 - TEHACHAPI,Mobile Home Park,NA,No,No,None,NA,None,86,82,35139,11.24107922,At-Risk,NO,NO,NO,NO,NO,0.5,2,0.67,0.17,48301.45,3.34,Not Failing,0,0,1,No,No,Yes,C,GW,GW,Self-produced,4.418840607796598
CA1500481,RIVERNOOK CAMPGROUND,Kern,DISTRICT 19 - TEHACHAPI,Mobile Home Park,NA,No,No,None,NA,None,287,877,34495,29.09963787,Not At-Risk,NO,NO,NO,NO,NO,0,0.33,0.33,0,0,0.66,Not Failing,0,0,0.5,Did not complete survey,No,No,C,GW,GW,Self-produced,6.777646593635117
CA1502232,ROSAMOND MOBILEHOME PARK,Kern,DISTRICT 19 - TEHACHAPI,Mobile Home Park,NA,No,No,None,NA,None,79,175,1464,37.90014753,Failing,YES,NO,NO,NO,NO,2,1.33,0.33,0.67,137721.16,4.33,Failing,0,0,0.5,Did not complete survey,No,Yes,C,GW,GW,Self-produced,5.170483995038151
