"","PWSID","PWS_Name","Counties_Served","Primacy_FINAL","Final_inst_update","Inst_Subtype","ancillary","public","enfranchisement","Variablecoded","enfranchisement_final","SERVICE_CONNECTIONS","POPULATION","MHI","CALENVIRO_SCREEN_SCORE","FINAL_SAFER_STATUS","PRIMARY_MCL_VIOLATION","SECONDARY_MCL_VIOLATION","E_COLI_VIOLATION","TREATMENT_TECHNIQUE_VIOLATION","MONITORING_AND_REPORTING_VIOLATION","WEIGHTED_WATER_QUALITY_SCORE","WEIGHTED_ACCESSIBILITY_SCORE","WEIGHTED_AFFORDABILITY_SCORE","WEIGHTED_TMF_CAPACITY_SCORE","FUNDING_RECEIVED_SINCE_2017","Total_risk","CURRENT_FAILING","PERCENT_OF_MEDIAN_HOUSEHOLD_INCOME_MHI_RAW_SCORE","EXTREME_WATER_BILL_RAW_SCORE","HOUSEHOLD_SOCIOECONOMIC_BURDEN_RAW_SCORE","Intend.to.apply.","Application.complete.","FundingYorN","Type","Primary.Source.Water.Type","Source","Purchased","LN_POP"
"1527","CA0310008","CAMANCHE NORTH SHORE INC.","Amador","DISTRICT 10 - STOCKTON","Municipal Utility District",NA,"No","Yes","Full",NA,"Full",211,1039,93698,27.85813484,"Not At-Risk","NO","NO","NO","NO","NO",0.25,0.33,0.33,1,0,1.91,"Not Failing",0,0,0.5,"Did not complete survey","No","No","C","GW","GW","Self-produced",6.94697599213542
"1528","CA0510012","CAMANCHE SOUTH SHORE-EBMUD","Calaveras","DISTRICT 10 - STOCKTON","Municipal Utility District",NA,"No","Yes","Full",NA,"Full",448,780,80537,21.02799862,"Not At-Risk","NO","NO","NO","NO","NO",0,0.33,0,1,0,1.33,"Not Failing",0,0,0,"Did not complete survey","No","No","C","SW","SW","Self-produced",6.66057514983969
"1529","CA1210013","HUMBOLDT BAY MWD","Humboldt","DISTRICT 01 - KLAMATH","Municipal Water District",NA,"No","Yes","Full",NA,"Full",207,680,62354.55934,31.20642237,"Not Assessed","NO","NO","NO","NO","NO",NA,NA,NA,NA,0,NA,"Not Failing",NA,NA,NA,"Yes","Yes","No","C","GW","GW","Self-produced",6.52356230614951
"1530","CA5610050","CALLEGUAS MUNICIPAL WATER DIST","Ventura","DISTRICT 06 - SANTA BARBARA","Municipal Water District",NA,"No","Yes","Full",NA,"Full",91,0,119835.6024,19.83066852,"Not Assessed","NO","NO","NO","NO","NO",NA,NA,NA,NA,0,NA,"Not Failing",NA,NA,NA,"Did not complete survey","No","No","C","SW","SW","Self-produced",0
"1531","CA5610024","CASITAS MUNICIPAL WATER DIST","Ventura","DISTRICT 06 - SANTA BARBARA","Municipal Water District",NA,"No","Yes","Full",NA,"Full",3174,11005,84164.37019,23.94341627,"Not At-Risk","NO","NO","NO","NO","NO",0,0,0.33,0.33,0,0.66,"Not Failing",0,0,0.5,"Yes","No","No","C","SW","SW","Self-produced",9.3061958576197
"1532","CA5610014","OJAI WATER SYSTEM","Ventura","DISTRICT 06 - SANTA BARBARA","Municipal Water District",NA,"No","Yes","Full",NA,"Full",2913,6801,75564.00141,13.50142152,"Not At-Risk","NO","NO","NO","NO","NO",0,0,0.67,0.67,0,1.34,"Not Failing",0,0,1,"Yes","No","No","C","SWP","SW","Purchased",8.82497196556714
"1533","CA1910032","FOOTHILL MUNICIPAL WATER DIST.","Los Angeles","DISTRICT 07 - HOLLYWOOD","Municipal Water District",NA,"No","Yes","Full",NA,"Full",7,0,143826.7652,22.24867784,"Not Assessed","NO","NO","NO","NO","NO",NA,NA,NA,NA,0,NA,"Not Failing",NA,NA,NA,"Did not complete survey","No","No","C","SWP","SW","Purchased",0
"1534","CA1910225","LAS VIRGENES MWD","Los Angeles","DISTRICT 07 - HOLLYWOOD","Municipal Water District",NA,"No","Yes","Full",NA,"Full",20037,72602,155035.9362,7.79078445,"Not At-Risk","NO","NO","NO","NO","NO",0,0,0,0,0,0,"Not Failing",0,0,0,"Yes","Yes","No","C","SW","SW","Self-produced",11.1927615222732
"1535","CA1910041","THREE VALLEYS MWD","Los Angeles","DISTRICT 07 - HOLLYWOOD","Municipal Water District",NA,"No","Yes","Full",NA,"Full",14,0,100779.5316,18.94928737,"Not Assessed","NO","NO","NO","NO","NO",NA,NA,NA,NA,0,NA,"Not Failing",NA,NA,NA,"Did not complete survey","No","No","C","SW","SW","Self-produced",0
"1536","CA3610019","SAN BERNARDINO VALLEY WD","San Bernardino","DISTRICT 13 - SAN BERNARDINO","Municipal Water District",NA,"No","Yes","Full",NA,"Full",1,109608,83419.21309,62.12951751,"Not Assessed","NO","NO","NO","NO","NO",NA,NA,NA,NA,0,NA,"Not Failing",NA,NA,NA,"Did not complete survey","No","No","C","GW","GW","Self-produced",11.604674766913
"1537","CA3710037","PADRE DAM MWD","San Diego","DISTRICT 14 - SAN DIEGO","Municipal Water District",NA,"No","Yes","Full",NA,"Full",23196,90683,96237.44283,8.843793388,"Not At-Risk","NO","NO","NO","NO","NO",0,0,0,0,0,0,"Not Failing",0,0,0,"Yes","Yes","No","C","SWP","SW","Purchased",11.4151362148087
"1538","CA3710016","RAINBOW MUNICIPAL WD","San Diego","DISTRICT 14 - SAN DIEGO","Municipal Water District",NA,"No","Yes","Full",NA,"Full",8652,23536,96552.40372,22.43648344,"Not At-Risk","NO","NO","NO","NO","NO",0,0,0,0.17,0,0.17,"Not Failing",0,0,0,"Yes","Yes","No","C","SWP","SW","Purchased",10.066328930042
"1539","CA3710019","RAMONA MUNICIPAL WD","San Diego","DISTRICT 14 - SAN DIEGO","Municipal Water District",NA,"No","Yes","Full",NA,"Full",9556,35135,116392.662,11.93012918,"Not At-Risk","NO","NO","NO","NO","NO",0,0,0,0.33,0,0.33,"Not Failing",0,0,0,"Yes","Yes","No","C","SWP","SW","Purchased",10.4669815248692
"1540","CA3710018","RINCON DEL DIABLO MWD (ID-1)","San Diego","DISTRICT 14 - SAN DIEGO","Municipal Water District",NA,"No","Yes","Full",NA,"Full",7410,29206,92393.37033,21.82097224,"Not At-Risk","NO","NO","NO","NO","NO",0,0,0,0,0,0,"Not Failing",0,0,0,"Yes","Yes","No","C","SWP","SW","Purchased",10.2821636855541
"1541","CA3710044","RINCON DEL DIABLO MWD (ID-A)","San Diego","DISTRICT 14 - SAN DIEGO","Municipal Water District",NA,"No","Yes","Full",NA,"Full",1063,3316,152314.4071,8.843211549,"Not At-Risk","NO","NO","NO","NO","NO",0,1,0,0,0,1,"Not Failing",0,0,0,"Yes","Yes","No","C","SWP","SW","Purchased",8.10681603894705
"1542","CA3710026","VALLEY CENTER MWD","San Diego","DISTRICT 14 - SAN DIEGO","Municipal Water District",NA,"No","Yes","Full",NA,"Full",9578,29708,99636.87078,16.77714628,"Not At-Risk","NO","NO","NO","NO","NO",0,0,0,0,12215572,0,"Not Failing",0,0,0,"Yes","Yes","Yes","C","SWP","SW","Purchased",10.2992053091894
"1543","CA3701408","YUIMA MUNICIPAL WATER DISTRICT","San Diego","DISTRICT 14 - SAN DIEGO","Municipal Water District",NA,"No","Yes","Full",NA,"Full",105,360,63578.15471,16.77714628,"Not At-Risk","NO","NO","NO","NO","NO",0,0,0.33,0,0,0.33,"Not Failing",0,0,0.5,"No","No","No","C","SWP","SW","Purchased",5.88887795833288
"1544","CA3700938","YUIMA MUNICIPAL WATER DISTRICT IDA","San Diego","DISTRICT 14 - SAN DIEGO","Municipal Water District",NA,"No","Yes","Full",NA,"Full",210,769,63494.63251,16.77714628,"Not At-Risk","NO","NO","NO","NO","NO",0,0,0.33,0.5,0,0.83,"Not Failing",0,0,0.5,"No","No","No","C","SW","SW","Self-produced",6.64639051484773
"1545","CA3710005","CARLSBAD MWD","San Diego","DISTRICT 14 - SAN DIEGO","Municipal Water District",NA,"No","Yes","Full",NA,"Full",28238,93953,121193.9492,9.844832961,"Not At-Risk","NO","NO","NO","NO","NO",0,0,0,0.33,0,0.33,"Not Failing",0,0,0,"Yes","Yes","No","C","SWP","SW","Purchased",11.4505605797735
"1546","CA3710029","OLIVENHAIN MWD","San Diego","DISTRICT 14 - SAN DIEGO","Municipal Water District",NA,"No","Yes","Full",NA,"Full",22732,86649,164685.8397,5.837693026,"Not At-Risk","NO","NO","NO","NO","NO",0,0,0,0,0,0,"Not Failing",0,0,0,"Yes","No","No","C","SW","SW","Self-produced",11.3696322951438
"1547","CA3710034","OTAY WATER DISTRICT","San Diego","DISTRICT 14 - SAN DIEGO","Municipal Water District",NA,"No","Yes","Full",NA,"Full",50250,226413,106558.4753,34.97241587,"Not Assessed","NO","NO","NO","NO","NO",NA,NA,NA,NA,0,NA,"Not Failing",NA,NA,NA,"Yes","Yes","No","C","SWP","SW","Purchased",12.3301204608551
"1548","CA3310009","EASTERN MUNICIPAL WD","Riverside","DISTRICT 20 - RIVERSIDE","Municipal Water District",NA,"No","Yes","Full",NA,"Full",161031,624372,84596.43006,15.71964021,"Not Assessed","NO","NO","NO","NO","NO",NA,NA,NA,NA,2918490,NA,"Not Failing",NA,NA,NA,"Yes","Yes","Yes","C","SWP","SW","Purchased",13.3445032251766
"1549","CA3310012","ELSINORE VALLEY MWD","Riverside","DISTRICT 20 - RIVERSIDE","Municipal Water District",NA,"No","Yes","Full",NA,"Full",46186,160093,81815.11762,7.689496613,"Not Assessed","NO","NO","NO","NO","NO",NA,NA,NA,NA,4392323.85,NA,"Not Failing",NA,NA,NA,"Yes","Yes","Yes","C","SW","SW","Self-produced",11.9835164217054
"1550","CA3310022","LAKE HEMET MWD","Riverside","DISTRICT 20 - RIVERSIDE","Municipal Water District",NA,"No","Yes","Full",NA,"Full",14252,52913,63702.31974,21.95203494,"Not At-Risk","NO","NO","NO","NO","NO",0,0,0,1.33,0,1.33,"Not Failing",0,0,NA,"Yes","Yes","No","C","GW","GW","Self-produced",10.8764232331162
"1551","CA3310080","LAKE HEMET MWD-CAMP GROUND","Riverside","DISTRICT 20 - RIVERSIDE","Municipal Water District",NA,"No","Yes","Full",NA,"Full",287,600,NA,NA,"Not At-Risk","NO","NO","NO","NO","NO",0,1.33,0,0.33,0,1.66,"Not Failing",0,0,0,"Did not complete survey","No","No","C","GW","GW","Self-produced",6.39859493453521
"1552","CA3310052","LAKE HEMET-GARNER VALLEY","Riverside","DISTRICT 20 - RIVERSIDE","Municipal Water District",NA,"No","Yes","Full",NA,"Full",244,709,NA,NA,"Not At-Risk","NO","NO","NO","NO","NO",0,0.33,0.33,0.33,0,0.99,"Not Failing",0,0,0.5,"Did not complete survey","No","No","C","GW","GW","Self-produced",6.56526497003536
"1553","CA3310036","WESTERN MWD - MURRIETA DIVISION","Riverside","DISTRICT 20 - RIVERSIDE","Municipal Water District",NA,"No","Yes","Full",NA,"Full",2855,16143,121245.9731,33.5937566,"Not At-Risk","NO","NO","NO","NO","NO",0,0,0,0,0,0,"Not Failing",NA,NA,0,"Yes","Yes","No","C","SWP","SW","Purchased",9.68930374259339
"1554","CA3310049","WESTERN MWD","Riverside","DISTRICT 20 - RIVERSIDE","Municipal Water District",NA,"No","Yes","Full",NA,"Full",21260,80766,102536.8844,7.689496613,"Not At-Risk","NO","NO","NO","NO","NO",0,0,1,0,0,1,"Not Failing",NA,NA,0.5,"Yes","Yes","No","C","SWP","SW","Purchased",11.2993237452431
"1555","CA3310076","WESTERN MWD (ID A - RAINBOW)","Riverside","DISTRICT 20 - RIVERSIDE","Municipal Water District",NA,"No","Yes","Full",NA,"Full",44,183,91513.52043,21.34357675,"Not At-Risk","NO","NO","NO","NO","NO",0,1,0,0,0,1,"Not Failing",0,0,0,"Yes","Yes","No","C","SWP","SW","Purchased",5.21493575760899
"1556","CA2110002","MARIN MUNICIPAL WATER DISTRICT","Marin","DISTRICT 25 - MARIN","Municipal Water District",NA,"No","Yes","Full",NA,"Full",62255,193937,153434.7309,20.31357788,"Not Assessed","NO","NO","NO","NO","NO",NA,NA,NA,NA,1e+06,NA,"Not Failing",NA,NA,NA,"Yes","Yes","Yes","C","SW","SW","Self-produced",12.1752937993376
"1557","CA1900767","GOLDEN VALLEY MUNICIPAL WATER DISTRICT","Los Angeles","LPA49 - LA COUNTY","Municipal Water District",NA,"No","Yes","Full",NA,"Full",20,70,60107.56093,31.66430769,"At-Risk","NO","NO","NO","NO","NO",0,1.5,2,0.17,0,3.67,"Not Failing",NA,NA,1,"Yes","Yes","No","C","GW","GW","Self-produced",4.26267987704132
"1558","CA3310075","WESTERN MWD (ARLINGTON)","Riverside","DISTRICT 20 - RIVERSIDE","Municipal Water District",NA,"No","Yes","Full",NA,"Full",0,0,54464,66.15474117,"Not Assessed","NO","NO","NO","NO","NO",NA,NA,NA,NA,0,NA,"Not Failing",NA,NA,NA,"Did not complete survey","No","No","C","GW","GW","Self-produced",0
"1559","CA4400604","BRACKEN BRAE COUNTRY CLUB","Santa Cruz","DISTRICT 05 - MONTEREY","Mutual Benefit","HOA","No","Yes","Limited",NA,"Limited",24,54,121324.0075,6.828452845,"Not At-Risk","NO","NO","NO","NO","NO",0,0,0,1.33,0,1.33,"Not Failing",NA,NA,0,"Yes","Yes","No","C","GWP","GW","Purchased",4.00733318523247
"1560","CA0707501","ANGLER S RANCH #3","Contra Costa","LPA37 - CONTRA COSTA COUNTY","Mutual Benefit","Unknown/Other","No","Yes","Limited",NA,"Limited",32,60,82730,31.03829673,"Not At-Risk","NO","NO","NO","NO","NO",0,1.33,0,0,0,1.33,"Not Failing",0,0,0,"No","No","No","C","GW","GW","Self-produced",4.11087386417331
"1561","CA3600260","SMILEY PARK COUNTRY CLUB","San Bernardino","LPA66 - SAN BERNARDINO COUNTY","Mutual Benefit","Unknown/Other","No","Yes","Limited",NA,"Limited",102,530,68864,30.65423305,"Not At-Risk","NO","NO","NO","NO","NO",0.25,0,0,0,0,0.25,"Not Failing",0,0,0,"No","No","No","C","GW","GW","Self-produced",6.27476202124194
"1562","CA4200885","CHALK HILL ESTATES HOA","Santa Barbara","LPA72 - SANTA BARBARA COUNTY","Mutual Benefit","Mutual Water Company","No","Yes","Limited",NA,"Limited",15,38,173194,13.73752319,"Not At-Risk","NO","NO","NO","NO","NO",0,0.33,0,0,0,0.33,"Not Failing",0,0,0,"No","No","No","C","GW","GW","Self-produced",3.66356164612965
"1563","CA1400005","OWENS VALLEY WATER COMPANY","Inyo","DISTRICT 13 - SAN BERNARDINO","Mutual Benefit","Unknown/Other","No","Yes","Limited",NA,"Limited",111,300,62876.09749,10.62116256,"Not At-Risk","NO","NO","NO","NO","NO",0,0.33,1.08,0,0,1.41,"Not Failing",0.75,0,0.5,"No","No","No","C","GW","GW","Self-produced",5.70711026474888
"1564","CA4900612","HEIGHTS MUTUAL WATER COMPANY","Sonoma","DISTRICT 18 - SONOMA","Mutual Benefit","Mutual Water Company","No","Yes","Limited",NA,"Limited",110,363,118828,6.431357189,"Not At-Risk","NO","NO","NO","NO","NO",0.25,0.33,0,0.5,0,1.08,"Not Failing",0,0,0,"No","No","No","C","GW","GW","Self-produced",5.89715386763674
"1565","CA4900905","MARK WEST MEADOWS MUTUAL WATER","Sonoma","DISTRICT 18 - SONOMA","Mutual Benefit","Mutual Water Company","No","Yes","Limited",NA,"Limited",15,25,160875,15.18465797,"Not At-Risk","NO","NO","NO","NO","NO",0,0.33,0.33,0,0,0.66,"Not Failing",0,1,0,"No","No","No","C","GW","GW","Self-produced",3.25809653802148
"1566","CA1500566","SPRING MOUNTAIN MUTUAL WATER COMPANY","Kern","DISTRICT 19 - TEHACHAPI","Mutual Benefit","Mutual Water Company","No","Yes","Limited",NA,"Limited",13,26,NA,NA,"Failing","YES","NO","NO","NO","NO",0.5,3.33,1.58,0.17,0,5.58,"Failing",0.75,0.5,1,"No","No","No","C","GW","GW","Self-produced",3.29583686600433
"1567","CA5403217","OKIEVILLE HIGHLAND ACRES MWC","Tulare","DISTRICT 24 - TULARE","Mutual Benefit","Mutual Water Company","No","Yes","Limited",NA,"Limited",72,300,35833,45.06288328,"At-Risk","NO","NO","NO","NO","NO",0,2,1,0.67,0,3.67,"Not Failing",NA,NA,0.5,"Yes","Yes","No","C","GW","GW","Self-produced",5.70711026474888
"1568","CA4000834","ANZA VINEYARD ESTATES MUTUAL WATER CO","San Luis Obispo","LPA70 - SAN LUIS OBISPO COUNTY","Mutual Benefit","Mutual Water Company","No","Yes","Limited",NA,"Limited",2,60,143068,13.81817498,"Not At-Risk","NO","NO","NO","NO","NO",0,0.33,1.33,0.67,0,2.33,"Not Failing",1,1,0,"No","No","No","C","GW","GW","Self-produced",4.11087386417331
"1569","CA5305007","RUTH MUTUAL WATER COMPANY","Trinity","DISTRICT 01 - KLAMATH","Mutual Benefit","Mutual Water Company","No","Yes","Limited",NA,"Limited",10,41,12250,15.39758232,"Not At-Risk","NO","NO","NO","NO","NO",0,0.33,1.5,0.33,0,2.16,"Not Failing",1,0,NA,NA,NA,"No","C","GW","GW","Self-produced",3.73766961828337
"1570","CA5301001","BUCKTAIL MUTUAL WATER COMPANY","Trinity","DISTRICT 01 - KLAMATH","Mutual Benefit","Mutual Water Company","No","Yes","Limited",NA,"Limited",42,42,39566.69918,8.764224114,"Potentially At-Risk","NO","NO","NO","NO","NO",0.25,0.33,2,0,0,2.58,"Not Failing",NA,NA,1,NA,NA,"No","C","GW","GW","Self-produced",3.76120011569356
"1571","CA5304109","BURNT RANCH ESTATES","Trinity","DISTRICT 01 - KLAMATH","Mutual Benefit","Mutual Water Company","No","Yes","Limited",NA,"Limited",35,115,42759,11.65886272,"Potentially At-Risk","NO","NO","NO","NO","NO",0,2,0.33,0.33,0,2.66,"Not Failing",0,0,0.5,"Did not complete survey","No","No","C","SW","SW","Self-produced",4.75359019110636
"1572","CA4700551","COPCO LAKE MWC","Siskiyou","DISTRICT 01 - KLAMATH","Mutual Benefit","Mutual Water Company","No","Yes","Limited",NA,"Limited",65,181,51754,15.87110689,"Potentially At-Risk","NO","NO","NO","NO","NO",1.75,0.5,0.33,0,0,2.58,"Not Failing",0,0,0.5,"No","No","No","C","GW","GW","Self-produced",5.2040066870768
"1573","CA5301103","COVINGTON MILL - A","Trinity","DISTRICT 01 - KLAMATH","Mutual Benefit","Mutual Water Company","No","Yes","Limited",NA,"Limited",42,60,31500,8.764224114,"Not At-Risk","NO","NO","NO","NO","NO",0,2,0,0,0,2,"Not Failing",0,0,0,"Did not complete survey","No","No","C","GW","GW","Self-produced",4.11087386417331
"1574","CA5301104","COVINGTON MILL MWC-DIVISION B","Trinity","DISTRICT 01 - KLAMATH","Mutual Benefit","Mutual Water Company","No","Yes","Limited",NA,"Limited",99,99,39074,22.184666,"Not At-Risk","NO","NO","NO","NO","NO",0,0.5,0.33,0,0,0.83,"Not Failing",0,0,0.5,"Yes","Yes","No","C","GW","GW","Self-produced",4.60517018598809
"1575","CA4700549","LAKE SISKIYOU M.W.C.","Siskiyou","DISTRICT 01 - KLAMATH","Mutual Benefit","Mutual Water Company","No","Yes","Limited",NA,"Limited",84,240,79063,20.82671348,"Potentially At-Risk","NO","NO","NO","NO","NO",2.5,0.33,0,0.33,0,3.16,"Not Failing",0,0,0,"No","No","No","C","GW","GW","Self-produced",5.48479693349065
"1576","CA1200547","MILL CREEK M.W.C.","Humboldt","DISTRICT 01 - KLAMATH","Mutual Benefit","Mutual Water Company","No","Yes","Limited",NA,"Limited",36,85,71985,14.75218053,"Not At-Risk","NO","NO","NO","NO","NO",0,0.33,0,0,0,0.33,"Not Failing",0,0,0,"No","No","No","C","GW","GW","Self-produced",4.45434729625351
"1577","CA4700872","MONTE SHASTA M.W.C.","Siskiyou","DISTRICT 01 - KLAMATH","Mutual Benefit","Mutual Water Company","No","Yes","Limited",NA,"Limited",46,150,46932.435,20.82671348,"Not At-Risk","NO","NO","NO","NO","NO",0,0.33,0.33,0,0,0.66,"Not Failing",0,0,0.5,"No","No","No","C","GW","GW","Self-produced",5.01727983681492
"1578","CA1200538","MYERS FLAT M.W.S. INC.","Humboldt","DISTRICT 01 - KLAMATH","Mutual Benefit","Mutual Water Company","No","Yes","Limited",NA,"Limited",100,330,22588,16.46463183,"Not At-Risk","NO","NO","NO","NO","NO",0,0.33,1.67,0,2283524,2,"Not Failing",1,0,1,"Yes","Yes","Yes","C","GW","GW","Self-produced",5.80211837537706
"1579","CA1206002","PALOMINO ESTATES WATER COMPANY","Humboldt","DISTRICT 01 - KLAMATH","Mutual Benefit","Mutual Water Company","No","Yes","Limited",NA,"Limited",19,64,25838.24347,16.46463183,"At-Risk","NO","NO","NO","NO","NO",0,1.5,1.83,1.67,0,5,"Not Failing",1,0.5,1,"No","No","No","C","SW","SW","Self-produced",4.17438726989564
"1580","CA5301017","RUSH CREEK MUTUAL WATER SYSTEM","Trinity","DISTRICT 01 - KLAMATH","Mutual Benefit","Mutual Water Company","No","Yes","Limited",NA,"Limited",37,104,39074,22.184666,"Potentially At-Risk","NO","NO","NO","NO","NO",0,1.33,1.08,0,0,2.41,"Not Failing",0.75,0,0.5,"No","No","No","C","SW","SW","Self-produced",4.65396035015752
"1581","CA5304502","SALYER HEIGHTS W.S., INC","Trinity","DISTRICT 01 - KLAMATH","Mutual Benefit","Mutual Water Company","No","Yes","Limited",NA,"Limited",40,130,24250,11.65886272,"Not At-Risk","NO","NO","NO","NO","NO",0,1.33,0,0,0,1.33,"Not Failing",0,0,0,"Did not complete survey","No","No","C","SW","SW","Self-produced",4.87519732320115
"1582","CA5304501","SALYER MUTUAL WC (FORMERLY RIVERVIEW AC)","Trinity","DISTRICT 01 - KLAMATH","Mutual Benefit","Mutual Water Company","No","Yes","Limited",NA,"Limited",70,231,24250,11.65886272,"Not At-Risk","NO","NO","NO","NO","NO",0,1.33,1,0,413350,2.33,"Not Failing",1,0,0,"Yes","No","Yes","C","SW","SW","Self-produced",5.44673737166631
"1583","CA1200588","SEAWOOD ESTATES MUTUAL WATER COMPANY","Humboldt","DISTRICT 01 - KLAMATH","Mutual Benefit","Mutual Water Company","No","Yes","Limited",NA,"Limited",23,60,19420,10.99230037,"Potentially At-Risk","NO","NO","NO","NO","NO",0,0.33,1.83,0.67,0,2.83,"Not Failing",1,0.5,1,"Did not complete survey","No","No","C","SW","SW","Self-produced",4.11087386417331
"1584","CA5301201","SEYMOUR'S MUTUAL WATER SYSTEM","Trinity","DISTRICT 01 - KLAMATH","Mutual Benefit","Mutual Water Company","No","Yes","Limited",NA,"Limited",26,40,39074,22.184666,"Potentially At-Risk","NO","NO","NO","NO","NO",0,1.5,0.33,0.67,0,2.5,"Not Failing",0,0,0.5,NA,NA,"No","C","GW","GW","Self-produced",3.71357206670431
"1585","CA4700528","SISKIYOU CO. ROLLING HILLS MWC","Siskiyou","DISTRICT 01 - KLAMATH","Mutual Benefit","Mutual Water Company","No","Yes","Limited",NA,"Limited",96,300,42778,29.50844148,"Not At-Risk","NO","NO","NO","NO","NO",0,0.33,1.67,0.33,0,2.33,"Not Failing",1,0,1,"No","No","No","C","GW","GW","Self-produced",5.70711026474888
"1586","CA4700880","SISKIYOU LAKE HIGHLANDS MWC","Siskiyou","DISTRICT 01 - KLAMATH","Mutual Benefit","Mutual Water Company","No","Yes","Limited",NA,"Limited",84,539,68792.14941,20.82671348,"Not At-Risk","NO","NO","NO","NO","NO",0,0.33,0,0,0,0.33,"Not Failing",0,0,0,"No","No","No","C","GW","GW","Self-produced",6.29156913955832
"1587","CA4700686","SUN MOUNTAIN M.W.C.","Siskiyou","DISTRICT 01 - KLAMATH","Mutual Benefit","Mutual Water Company","No","Yes","Limited",NA,"Limited",32,55,79063,20.82671348,"Not At-Risk","NO","NO","NO","NO","NO",0,1.33,0,0,0,1.33,"Not Failing",0,0,0,"Did not complete survey","No","No","C","GW","GW","Self-produced",4.02535169073515
"1588","CA5301101","TREASURE CREEK WOODS MWC","Trinity","DISTRICT 01 - KLAMATH","Mutual Benefit","Mutual Water Company","No","Yes","Limited",NA,"Limited",32,131,31500,8.764224114,"Not At-Risk","NO","NO","NO","NO","NO",0,0.5,0.75,0,0,1.25,"Not Failing",0.75,0,0,"Did not complete survey","No","No","C","GW","GW","Self-produced",4.88280192258637
"1589","CA5310003","TRINITY CENTER M.W.C. .","Trinity","DISTRICT 01 - KLAMATH","Mutual Benefit","Mutual Water Company","No","Yes","Limited",NA,"Limited",260,729,39000,8.764224114,"Not At-Risk","NO","NO","NO","NO","NO",0,1.33,0.75,0,0,2.08,"Not Failing",0.75,0,0,"Did not complete survey","No","No","C","SW","SW","Self-produced",6.59304453414244
"1590","CA5301102","TRINITY KNOLLS MUTUAL WATER COMPANY","Trinity","DISTRICT 01 - KLAMATH","Mutual Benefit","Mutual Water Company","No","Yes","Limited",NA,"Limited",67,338,36763.98678,8.764224114,"Not At-Risk","NO","NO","NO","NO","NO",0,1,1.08,0,330000,2.08,"Not Failing",0.75,0,0.5,"No","No","Yes","C","GW","GW","Self-produced",5.82600010738045
"1591","CA5304102","TRINITY VILLAGE MUTUAL WATER","Trinity","DISTRICT 01 - KLAMATH","Mutual Benefit","Mutual Water Company","No","Yes","Limited",NA,"Limited",192,332,24250,11.65886272,"Not At-Risk","NO","NO","NO","NO","NO",0,0.33,0.75,1,0,2.08,"Not Failing",0.75,0,0,"No","No","No","C","SW","SW","Self-produced",5.80814248998044
"1592","CA1200566","ORLEANS MUTUAL WATER CO.","Humboldt","DISTRICT 01 - KLAMATH","Mutual Benefit","Mutual Water Company","No","Yes","Limited",NA,"Limited",38,85,NA,NA,"Failing","NO","NO","NO","NO","YES",0,1.33,0.33,0.67,288600,2.33,"Failing",0,0,0.5,"No","No","Yes","C","SW","SW","Self-produced",4.45434729625351
"1593","CA1200590","MOONSTONE HEIGHTS MWA","Humboldt","DISTRICT 01 - KLAMATH","Mutual Benefit","Mutual Water Company","No","Yes","Limited",NA,"Limited",14,33,56250,10.99230037,"Not At-Risk","NO","NO","NO","NO","NO",0,1.33,0.67,0,0,2,"Not Failing",0,0,1,"No","No","No","C","GW","GW","Self-produced",3.52636052461616
"1594","CA1200591","BIG LAGOON PARK WATER CO.","Humboldt","DISTRICT 01 - KLAMATH","Mutual Benefit","Unknown/Other","No","Yes","Limited",NA,"Limited",76,70,22250,10.99230037,"Not At-Risk","NO","NO","NO","NO","NO",0,0.5,0.67,0.33,0,1.5,"Not Failing",0,0,1,NA,NA,"No","C","GW","GW","Self-produced",4.26267987704132
"1595","CA1200544","REDCREST WATER WORKS","Humboldt","DISTRICT 01 - KLAMATH","Mutual Benefit","Unknown/Other","No","Yes","Limited",NA,"Limited",35,116,24094.12763,21.72925706,"Not At-Risk","NO","NO","NO","NO","NO",0,1.5,0.67,0,0,2.17,"Not Failing",0,0,1,"No","No","No","C","SW","SW","Self-produced",4.76217393479776
"1596","CA4500023","HAT CREEK HIGHLANDS MUTUAL WATER CO","Shasta","DISTRICT 02 - LASSEN","Mutual Benefit","Mutual Water Company","No","Yes","Limited",NA,"Limited",44,88,43239.36407,21.24238808,"At-Risk","NO","NO","NO","NO","NO",0,1.33,1.17,1.33,0,3.83,"Not Failing",1,0.5,0,"Did not complete survey","No","No","C","SW","SW","Self-produced",4.48863636973214
"1597","CA3210006","LAKE ALMANOR COUNTRY CLUB MWC","Plumas","DISTRICT 02 - LASSEN","Mutual Benefit","Mutual Water Company","No","Yes","Limited",NA,"Limited",1700,6000,75186.52811,17.48422057,"Not At-Risk","NO","NO","NO","NO","NO",0,0.33,0,0,0,0.33,"Not Failing",NA,NA,0,"No","No","No","C","GW","GW","Self-produced",8.69968140098951
"1598","CA1800511","LAKE FOREST MUTUAL W.C.","Lassen","DISTRICT 02 - LASSEN","Mutual Benefit","Mutual Water Company","No","Yes","Limited",NA,"Limited",220,565,65956.99952,10.78251718,"Not At-Risk","NO","NO","NO","NO","NO",0,0.33,0,0,0,0.33,"Not Failing",0,0,0,"Did not complete survey","No","No","C","GW","GW","Self-produced",6.33859407820318
