PWSID,PWS_Name,Counties_Served,Primacy_FINAL,Primacy_agency_SWRCB email,SAFER_REGULATOR,TYPE_consolidated_2018_original,Draft_inst_update_source,Draft_inst_update,Final_inst_update,Inst_Subtype,Notes,Notes_last_updated,Weird_case,Activemarch29?,SAFER_status_2023
CA4900798,"MOUNTAIN VIEW MOBILE ESTATES, LLC",Sonoma,DISTRICT 18 - SONOMA,DISTRICT 18 - SONOMA,DISTRICT 18 - SONOMA,MHP,Original,MHP,Mobile Home Park,,,,,"MOUNTAIN VIEW MOBILE ESTATES, LLC",At-Risk
CA4900797,NORTH STAR MOBILE HOME PARK,Sonoma,DISTRICT 18 - SONOMA,DISTRICT 18 - SONOMA,DISTRICT 18 - SONOMA,MHP,Original,MHP,Mobile Home Park,,,,,NORTH STAR MOBILE HOME PARK,Potentially At-Risk
CA4900674,PINE HILL TERRACE MOBILE HOME PARK,Sonoma,DISTRICT 18 - SONOMA,DISTRICT 18 - SONOMA,DISTRICT 18 - SONOMA,MHP,Original,MHP,Mobile Home Park,,,,,PINE HILL TERRACE MOBILE HOME PARK,Not At-Risk
CA4900787,PLAZA MOBILE HOME PARK,Sonoma,DISTRICT 18 - SONOMA,DISTRICT 18 - SONOMA,DISTRICT 18 - SONOMA,MHP,Original,MHP,Mobile Home Park,,,,,PLAZA MOBILE HOME PARK,Not At-Risk
CA4900600,RINCON VALLEY MOBILE ESTATES,Sonoma,DISTRICT 18 - SONOMA,DISTRICT 18 - SONOMA,DISTRICT 18 - SONOMA,MHP,Original,MHP,Mobile Home Park,,,,,RINCON VALLEY MOBILE ESTATES,Not At-Risk
CA4900675,ROSELAND MOBILE HOME PARK,Sonoma,DISTRICT 18 - SONOMA,DISTRICT 18 - SONOMA,DISTRICT 18 - SONOMA,MHP,Original,MHP,Mobile Home Park,,,,,ROSELAND MOBILE HOME PARK,Not At-Risk
CA4900796,SANTA ROSA MOBILE ESTATES,Sonoma,DISTRICT 18 - SONOMA,DISTRICT 18 - SONOMA,DISTRICT 18 - SONOMA,MHP,Original,MHP,Mobile Home Park,,,,,SANTA ROSA MOBILE ESTATES,At-Risk
CA4900723,SHAMROCK MOBILE HOME PARK,Sonoma,DISTRICT 18 - SONOMA,DISTRICT 18 - SONOMA,DISTRICT 18 - SONOMA,MHP,Original,MHP,Mobile Home Park,,,,,SHAMROCK MOBILE HOME PARK,At-Risk
CA4900795,STONEGATE MOBILE HOME PARK,Sonoma,DISTRICT 18 - SONOMA,DISTRICT 18 - SONOMA,DISTRICT 18 - SONOMA,MHP,Original,MHP,Mobile Home Park,,,,,STONEGATE MOBILE HOME PARK,Failing
CA4900792,WAYSIDE GARDENS MOBILE HOME PARK,Sonoma,DISTRICT 18 - SONOMA,DISTRICT 18 - SONOMA,DISTRICT 18 - SONOMA,MHP,Original,MHP,Mobile Home Park,,,,,WAYSIDE GARDENS MOBILE HOME PARK,Potentially At-Risk
CA4900791,WESTERN MOBILE HOME PARK,Sonoma,DISTRICT 18 - SONOMA,DISTRICT 18 - SONOMA,DISTRICT 18 - SONOMA,MHP,Original,MHP,Mobile Home Park,,,,,WESTERN MOBILE HOME PARK,At-Risk
CA1500485,ANTELOPE VALLEY MOBILE ESTATES,Kern,DISTRICT 19 - TEHACHAPI,DISTRICT 19 - TEHACHAPI,DISTRICT 19 - TEHACHAPI,MHP,Original,MHP,Mobile Home Park,,,,,ANTELOPE VALLEY MOBILE ESTATES,Not At-Risk
CA1502247,DESERT BREEZE MOBILE HOME ESTATES,Kern,DISTRICT 19 - TEHACHAPI,DISTRICT 19 - TEHACHAPI,DISTRICT 19 - TEHACHAPI,MHP,Original,MHP,Mobile Home Park,,,,,DESERT BREEZE MOBILE HOME ESTATES,Failing
CA1500461,FOUNTAIN TRAILER PARK WATER,Kern,DISTRICT 19 - TEHACHAPI,DISTRICT 19 - TEHACHAPI,DISTRICT 19 - TEHACHAPI,MHP,Original,MHP,Mobile Home Park,,,,,FOUNTAIN TRAILER PARK WATER,Failing
CA1500459,LAKE OF THE WOODS MOBILE VILLAGE,Kern,DISTRICT 19 - TEHACHAPI,DISTRICT 19 - TEHACHAPI,DISTRICT 19 - TEHACHAPI,MHP,Original,MHP,Mobile Home Park,,,,,LAKE OF THE WOODS MOBILE VILLAGE,At-Risk
CA1500481,RIVERNOOK CAMPGROUND,Kern,DISTRICT 19 - TEHACHAPI,DISTRICT 19 - TEHACHAPI,DISTRICT 19 - TEHACHAPI,MHP,Original,MHP,Mobile Home Park,,,,,RIVERNOOK CAMPGROUND,Not At-Risk
CA1502232,ROSAMOND MOBILEHOME PARK,Kern,DISTRICT 19 - TEHACHAPI,DISTRICT 19 - TEHACHAPI,DISTRICT 19 - TEHACHAPI,MHP,Original,MHP,Mobile Home Park,,"SDWIS address matches with https://www.vmarosamondmhp.com/, but there is another Rosmond Estates MHP listed in the HCD data at a different address",3/10/23,,ROSAMOND MOBILEHOME PARK,Failing
CA1502564,SIERRA MEADOWS,Kern,DISTRICT 19 - TEHACHAPI,DISTRICT 19 - TEHACHAPI,DISTRICT 19 - TEHACHAPI,MHP,Original,MHP,Mobile Home Park,,,,,SIERRA MEADOWS,Potentially At-Risk
CA1500542,WILLOW SPRINGS MOBILE HOME PARK,Kern,DISTRICT 19 - TEHACHAPI,DISTRICT 19 - TEHACHAPI,DISTRICT 19 - TEHACHAPI,MHP,Original,MHP,Mobile Home Park,,,,,WILLOW SPRINGS MOBILE HOME PARK,Not At-Risk
CA3301534,RANCHO CALIMESA MOBILE HOME PARK,Riverside,DISTRICT 20 - RIVERSIDE,DISTRICT 20 - RIVERSIDE,DISTRICT 20 - RIVERSIDE,MHP,Original,MHP,Mobile Home Park,,,,,RANCHO CALIMESA MOBILE HOME PARK,Not At-Risk
CA1100413,COUNTRY LEISURE MOBILE ESTATES,Glenn,DISTRICT 21 - VALLEY,DISTRICT 21 - VALLEY,DISTRICT 21 - VALLEY,MHP,Original,MHP,Mobile Home Park,,,,,COUNTRY LEISURE MOBILE ESTATES,Potentially At-Risk
CA1100444,ORLAND ESTATES MOBILE H.P.,Glenn,DISTRICT 21 - VALLEY,DISTRICT 21 - VALLEY,DISTRICT 21 - VALLEY,MHP,Original,MHP,Mobile Home Park,,,,,ORLAND ESTATES MOBILE H.P.,Not At-Risk
CA1100445,ORLAND MOBILE H.P.,Glenn,DISTRICT 21 - VALLEY,DISTRICT 21 - VALLEY,DISTRICT 21 - VALLEY,MHP,Original,MHP,Mobile Home Park,,,,,ORLAND MOBILE H.P.,Not At-Risk
CA1100436,ORLAND OAKS MHP,Glenn,DISTRICT 21 - VALLEY,DISTRICT 21 - VALLEY,DISTRICT 21 - VALLEY,MHP,Original,MHP,Mobile Home Park,,,,,ORLAND OAKS MHP,Not At-Risk
CA1100452,SHADY OAKS TRAILER PARK,Glenn,DISTRICT 21 - VALLEY,DISTRICT 21 - VALLEY,DISTRICT 21 - VALLEY,MHP,Original,MHP,Mobile Home Park,,,,,SHADY OAKS TRAILER PARK,Not At-Risk
CA5100112,TIERRA BUENA MHP #1,Sutter,DISTRICT 21 - VALLEY,DISTRICT 21 - VALLEY,DISTRICT 21 - VALLEY,MHP,Original,MHP,Mobile Home Park,,,,,TIERRA BUENA MHP #1,Failing
CA1100254,VOYLES TRAILER PARK,Glenn,DISTRICT 21 - VALLEY,DISTRICT 21 - VALLEY,DISTRICT 21 - VALLEY,MHP,Original,MHP,Mobile Home Park,,,,,VOYLES TRAILER PARK,Not At-Risk
CA1100237,WILLOWS MOBILE HOME COMMUNITY & RV PARK,Glenn,DISTRICT 21 - VALLEY,DISTRICT 21 - VALLEY,DISTRICT 21 - VALLEY,MHP,Original,MHP,Mobile Home Park,,,,,WILLOWS MOBILE HOME COMMUNITY & RV PARK,At-Risk
CA1910066,LEISURE LAKE MOBILE ESTATES,Los Angeles,DISTRICT 22 - ANGELES,DISTRICT 22 - ANGELES,DISTRICT 22 - ANGELES,MHP,Original,MHP,Mobile Home Park,,,,,LEISURE LAKE MOBILE ESTATES,Potentially At-Risk
CA1000238,CAMDEN TRAILER PARK,Fresno,DISTRICT 23 - FRESNO,DISTRICT 23 - FRESNO,DISTRICT 23 - FRESNO,MHP,Original,MHP,Mobile Home Park,,,,,CAMDEN TRAILER PARK,At-Risk
CA1000229,GREEN ACRES MOBILE HOME ESTATE,Fresno,DISTRICT 23 - FRESNO,DISTRICT 23 - FRESNO,DISTRICT 23 - FRESNO,MHP,Original,MHP,Mobile Home Park,,,,,GREEN ACRES MOBILE HOME ESTATE,Potentially At-Risk
CA1000267,KINGS CANYON MOBILE HOME PARK,Fresno,DISTRICT 23 - FRESNO,DISTRICT 23 - FRESNO,DISTRICT 23 - FRESNO,MHP,Original,MHP,Mobile Home Park,,,,,KINGS CANYON MOBILE HOME PARK,Not At-Risk
CA1000265,MARY LOU MOBILE HOME PARK,Fresno,DISTRICT 23 - FRESNO,DISTRICT 23 - FRESNO,DISTRICT 23 - FRESNO,MHP,Original,MHP,Mobile Home Park,,,,,MARY LOU MOBILE HOME PARK,Not At-Risk
CA1000257,MT ARARAT MOBILE HOME PARK,Fresno,DISTRICT 23 - FRESNO,DISTRICT 23 - FRESNO,DISTRICT 23 - FRESNO,MHP,Original,MHP,Mobile Home Park,,,,,MT ARARAT MOBILE HOME PARK,Not At-Risk
CA1000259,NEW HORIZONS MOBILE/RV PARK,Fresno,DISTRICT 23 - FRESNO,DISTRICT 23 - FRESNO,DISTRICT 23 - FRESNO,MHP,Original,MHP,Mobile Home Park,,,,,NEW HORIZONS MOBILE/RV PARK,Potentially At-Risk
CA1000405,PIEDRA PARK ASSOCIATION,Fresno,DISTRICT 23 - FRESNO,DISTRICT 23 - FRESNO,DISTRICT 23 - FRESNO,MHP,Original,MHP,Mobile Home Park,,,,,PIEDRA PARK ASSOCIATION,Potentially At-Risk
CA1000426,RIVERBEND MOBILE HOME & RV PARK,Fresno,DISTRICT 23 - FRESNO,DISTRICT 23 - FRESNO,DISTRICT 23 - FRESNO,MHP,Original,MHP,Mobile Home Park,,,,,RIVERBEND MOBILE HOME & RV PARK,Not At-Risk
CA1000260,SANDY CREEK VILLAGE MHP,Fresno,DISTRICT 23 - FRESNO,DISTRICT 23 - FRESNO,DISTRICT 23 - FRESNO,MHP,Original,MHP,Mobile Home Park,,,,,SANDY CREEK VILLAGE MHP,Not At-Risk
CA1000244,SHADY LAKES MOBILE HOME PARK,Fresno,DISTRICT 23 - FRESNO,DISTRICT 23 - FRESNO,DISTRICT 23 - FRESNO,MHP,Original,MHP,Mobile Home Park,,,,,SHADY LAKES MOBILE HOME PARK,At-Risk
CA1000247,SHERWOOD FOREST MHP,Fresno,DISTRICT 23 - FRESNO,DISTRICT 23 - FRESNO,DISTRICT 23 - FRESNO,MHP,Original,MHP,Mobile Home Park,,,,,SHERWOOD FOREST MHP,Potentially At-Risk
CA1000378,SUNSET WEST COMMUNITY LLC,Fresno,DISTRICT 23 - FRESNO,DISTRICT 23 - FRESNO,DISTRICT 23 - FRESNO,MHP,Original,MHP,Mobile Home Park,,,,,SUNSET WEST COMMUNITY LLC,Potentially At-Risk
CA1000299,THREE PALMS MOBILEHOME PARK,Fresno,DISTRICT 23 - FRESNO,DISTRICT 23 - FRESNO,DISTRICT 23 - FRESNO,MHP,Original,MHP,Mobile Home Park,,,,,THREE PALMS MOBILEHOME PARK,Failing
CA1000298,WOODWARD BLUFFS MHP,Fresno,DISTRICT 23 - FRESNO,DISTRICT 23 - FRESNO,DISTRICT 23 - FRESNO,MHP,Original,MHP,Mobile Home Park,,,,,WOODWARD BLUFFS MHP,Potentially At-Risk
CA5400523,EL MONTE VILLAGE MHP,Tulare,DISTRICT 24 - TULARE,DISTRICT 24 - TULARE,DISTRICT 24 - TULARE,MHP,Original,MHP,Mobile Home Park,,,,,EL MONTE VILLAGE MHP,Failing
CA5400660,LAKE SUCCESS MOBILE LODGE,Tulare,DISTRICT 24 - TULARE,DISTRICT 24 - TULARE,DISTRICT 24 - TULARE,MHP,Original,MHP,Mobile Home Park,,,,,LAKE SUCCESS MOBILE LODGE,At-Risk
CA5400819,MOUNTAIN VIEW MHP,Tulare,DISTRICT 24 - TULARE,DISTRICT 24 - TULARE,DISTRICT 24 - TULARE,MHP,Original,MHP,Mobile Home Park,,,,,MOUNTAIN VIEW MHP,At-Risk
CA5400504,PORTERVILLE MOBILE VILLAGE,Tulare,DISTRICT 24 - TULARE,DISTRICT 24 - TULARE,DISTRICT 24 - TULARE,MHP,Original,MHP,Mobile Home Park,,,,,PORTERVILLE MOBILE VILLAGE,Potentially At-Risk
CA5400529,"SHADY GROVE MOBILE HOME PARK, LLC",Tulare,DISTRICT 24 - TULARE,DISTRICT 24 - TULARE,DISTRICT 24 - TULARE,MHP,Original,MHP,Mobile Home Park,,,,,"SHADY GROVE MOBILE HOME PARK, LLC",At-Risk
CA3700041,BARRETT LAKE MH AND RV LLC,San Diego,DISTRICT 26 - IMPERIAL,DISTRICT 26 - IMPERIAL,DISTRICT 26 - IMPERIAL,MHP,Original,MHP,Mobile Home Park,,,,,BARRETT LAKE MH AND RV LLC,Potentially At-Risk
CA3700291,"OCOTILLO OASIS, LLC",San Diego,DISTRICT 26 - IMPERIAL,DISTRICT 26 - IMPERIAL,DISTRICT 26 - IMPERIAL,MHP,Original,MHP,Mobile Home Park,,,,,"OCOTILLO OASIS, LLC",At-Risk
CA3701961,PINE VALLEY TRAILER PARK,San Diego,DISTRICT 26 - IMPERIAL,DISTRICT 26 - IMPERIAL,DISTRICT 26 - IMPERIAL,MHP,Original,MHP,Mobile Home Park,,,,,PINE VALLEY TRAILER PARK,Potentially At-Risk
CA3701341,QUIET OAKS MOBILE HOME PARK,San Diego,DISTRICT 26 - IMPERIAL,DISTRICT 26 - IMPERIAL,DISTRICT 26 - IMPERIAL,MHP,Original,MHP,Mobile Home Park,,,,,QUIET OAKS MOBILE HOME PARK,Failing
CA3702354,WARNER SPRINGS ESTATES,San Diego,DISTRICT 26 - IMPERIAL,DISTRICT 26 - IMPERIAL,DISTRICT 26 - IMPERIAL,MHP,Original,MHP,Mobile Home Park,,,,,WARNER SPRINGS ESTATES,Potentially At-Risk
CA1400020,ABERDEEN WATER SYSTEM,Inyo,DISTRICT 27 - MOJAVE,DISTRICT 27 - MOJAVE,DISTRICT 13 - SAN BERNARDINO,MHP,Original,MHP,Mobile Home Park,,,,,ABERDEEN WATER SYSTEM,Not At-Risk
CA1400037,FOOTHILL MOBILE HOME PARK,Inyo,DISTRICT 27 - MOJAVE,DISTRICT 27 - MOJAVE,DISTRICT 13 - SAN BERNARDINO,MHP,Original,MHP,Mobile Home Park,,,,,FOOTHILL MOBILE HOME PARK,Failing
CA0202522,SIERRA PINES MOBILE HOME PARK,Alpine,LPA32 - ALPINE COUNTY,LPA32 - ALPINE COUNTY,LPA32 - ALPINE COUNTY,MHP,Original,MHP,Mobile Home Park,,,,,SIERRA PINES MOBILE HOME PARK,Potentially At-Risk
CA0400040,ALMOND GROVE MOBILE PARK,Butte,LPA34 - BUTTE COUNTY,LPA34 - BUTTE COUNTY,LPA34 - BUTTE COUNTY,MHP,Original,MHP,Mobile Home Park,,,,,ALMOND GROVE MOBILE PARK,Potentially At-Risk
CA0400051,DINGERVILLE USA PARK,Butte,LPA34 - BUTTE COUNTY,LPA34 - BUTTE COUNTY,LPA34 - BUTTE COUNTY,MHP,Original,MHP,Mobile Home Park,,,,,DINGERVILLE USA PARK,Not At-Risk
CA0400027,FOOTHILLS MANUFACTURED HOME COMMUNUTY,Butte,LPA34 - BUTTE COUNTY,LPA34 - BUTTE COUNTY,LPA34 - BUTTE COUNTY,MHP,Original,MHP,Mobile Home Park,,,,,FOOTHILLS MANUFACTURED HOME COMMUNUTY,At-Risk
CA0400042,FOREST VILLAGE LLC,Butte,LPA34 - BUTTE COUNTY,LPA34 - BUTTE COUNTY,LPA34 - BUTTE COUNTY,Private,2021 update,MHP,Mobile Home Park,,,,,FOREST VILLAGE LLC,Not At-Risk
CA0400030,GOLDEN FEATHER MHP,Butte,LPA34 - BUTTE COUNTY,LPA34 - BUTTE COUNTY,LPA34 - BUTTE COUNTY,MHP,Original,MHP,Mobile Home Park,,,,,GOLDEN FEATHER MHP,Not At-Risk
CA0400023,GOLDEN OAKS MOBILE ESTATES,Butte,LPA34 - BUTTE COUNTY,LPA34 - BUTTE COUNTY,LPA34 - BUTTE COUNTY,MHP,Original,MHP,Mobile Home Park,,,,,GOLDEN OAKS MOBILE ESTATES,Not At-Risk
CA0400026,MEADOWBROOK OAKS,Butte,LPA34 - BUTTE COUNTY,LPA34 - BUTTE COUNTY,LPA34 - BUTTE COUNTY,MHP,Original,MHP,Mobile Home Park,,,,,MEADOWBROOK OAKS,At-Risk
CA0400019,OROVILLE MOBILE HOME PARK,Butte,LPA34 - BUTTE COUNTY,LPA34 - BUTTE COUNTY,LPA34 - BUTTE COUNTY,MHP,Original,MHP,Mobile Home Park,,,,,OROVILLE MOBILE HOME PARK,Potentially At-Risk
CA0400020,PLEASANT GROVE MHP,Butte,LPA34 - BUTTE COUNTY,LPA34 - BUTTE COUNTY,LPA34 - BUTTE COUNTY,MHP,Original,MHP,Mobile Home Park,,,,,PLEASANT GROVE MHP,Not At-Risk
CA0400021,ROBINSON'S CORNER MHP,Butte,LPA34 - BUTTE COUNTY,LPA34 - BUTTE COUNTY,LPA34 - BUTTE COUNTY,MHP,Original,MHP,Mobile Home Park,,,,,ROBINSON'S CORNER MHP,Not At-Risk
CA0500068,DUNROVIN MOBILE HOME VILLAGE,Calaveras,LPA35 - CALAVERAS COUNTY,LPA35 - CALAVERAS COUNTY,LPA35 - CALAVERAS COUNTY,MHP,Original,MHP,Mobile Home Park,,,,,DUNROVIN MOBILE HOME VILLAGE,Not At-Risk
CA0500075,LAKESIDE MOBILE ESTATES,Calaveras,LPA35 - CALAVERAS COUNTY,LPA35 - CALAVERAS COUNTY,LPA35 - CALAVERAS COUNTY,MHP,Original,MHP,Mobile Home Park,,,,,LAKESIDE MOBILE ESTATES,Not At-Risk
CA0707523,BETHEL ISLAND ESTATES,Contra Costa,LPA37 - CONTRA COSTA COUNTY,LPA37 - CONTRA COSTA COUNTY,LPA37 - CONTRA COSTA COUNTY,MHP,Original,MHP,Mobile Home Park,,,,,BETHEL ISLAND ESTATES,Potentially At-Risk
CA0707575,BETHEL ISLAND MHC,Contra Costa,LPA37 - CONTRA COSTA COUNTY,LPA37 - CONTRA COSTA COUNTY,LPA37 - CONTRA COSTA COUNTY,MHP,Original,MHP,Mobile Home Park,,,,,BETHEL ISLAND MHC,Not At-Risk
CA0707588,BIG OAK MOBILE HOME PARK WATER,Contra Costa,LPA37 - CONTRA COSTA COUNTY,LPA37 - CONTRA COSTA COUNTY,LPA37 - CONTRA COSTA COUNTY,MHP,Original,MHP,Mobile Home Park,,,,,BIG OAK MOBILE HOME PARK WATER,Not At-Risk
CA0707598,CAMINO MOBILEHOME,Contra Costa,LPA37 - CONTRA COSTA COUNTY,LPA37 - CONTRA COSTA COUNTY,LPA37 - CONTRA COSTA COUNTY,MHP,Original,MHP,Mobile Home Park,,,,,CAMINO MOBILEHOME,Not At-Risk
CA0707603,CLAYTON PALMS WATER,Contra Costa,LPA37 - CONTRA COSTA COUNTY,LPA37 - CONTRA COSTA COUNTY,LPA37 - CONTRA COSTA COUNTY,MHP,Original,MHP,Mobile Home Park,,,,,CLAYTON PALMS WATER,Not At-Risk
CA0707553,RIVERVIEW MOBILE HOMES,Contra Costa,LPA37 - CONTRA COSTA COUNTY,LPA37 - CONTRA COSTA COUNTY,LPA37 - CONTRA COSTA COUNTY,MHP,Original,MHP,Mobile Home Park,,,,,RIVERVIEW MOBILE HOMES,Not At-Risk
CA0707597,SANDY POINT MOBILE HOME PARK,Contra Costa,LPA37 - CONTRA COSTA COUNTY,LPA37 - CONTRA COSTA COUNTY,LPA37 - CONTRA COSTA COUNTY,MHP,Original,MHP,Mobile Home Park,,,,,SANDY POINT MOBILE HOME PARK,Potentially At-Risk
CA0707608,MARINA MOBILE MANOR,Contra Costa,LPA37 - CONTRA COSTA COUNTY,#N/A,LPA37 - CONTRA COSTA COUNTY,MHP,Original,MHP,Mobile Home Park,,,,,MARINA MOBILE MANOR,Not At-Risk
CA0707601,RUSSOS MOBILE PARK,Contra Costa,LPA37 - CONTRA COSTA COUNTY,#N/A,LPA37 - CONTRA COSTA COUNTY,MHP,Original,MHP,Mobile Home Park,,,,,RUSSOS MOBILE PARK,Not At-Risk
CA0900422,CRYSTAL CAVES MHP,El Dorado,LPA39 - EL DORADO COUNTY,LPA39 - EL DORADO COUNTY,LPA39 - EL DORADO COUNTY,MHP,Original,MHP,Mobile Home Park,,,,,CRYSTAL CAVES MHP,Not At-Risk
CA0900102,GOLD BEACH PARK,El Dorado,LPA39 - EL DORADO COUNTY,LPA39 - EL DORADO COUNTY,LPA39 - EL DORADO COUNTY,MHP,Original,MHP,Mobile Home Park,,,,,GOLD BEACH PARK,At-Risk
CA0900404,"OAKLANE MOBILE VILLAGE, LLC.",El Dorado,LPA39 - EL DORADO COUNTY,LPA39 - EL DORADO COUNTY,LPA39 - EL DORADO COUNTY,MHP,Original,MHP,Mobile Home Park,,,,,"OAKLANE MOBILE VILLAGE, LLC.",Not At-Risk
CA1300550,COUNTRY LIFE MH & RV PARK,Imperial,LPA43 - IMPERIAL COUNTY,LPA43 - IMPERIAL COUNTY,LPA43 - IMPERIAL COUNTY,MHP,Original,MHP,Mobile Home Park,,,,,COUNTRY LIFE MH & RV PARK,At-Risk
CA1300575,DATE GARDENS MOBILE HOME PARK,Imperial,LPA43 - IMPERIAL COUNTY,LPA43 - IMPERIAL COUNTY,LPA43 - IMPERIAL COUNTY,MHP,Original,MHP,Mobile Home Park,,,,,DATE GARDENS MOBILE HOME PARK,At-Risk
CA1300555,MITCHELLS CAMP FAMILY ASSOC.,Imperial,LPA43 - IMPERIAL COUNTY,LPA43 - IMPERIAL COUNTY,LPA43 - IMPERIAL COUNTY,MHP,Original,MHP,Mobile Home Park,,,,,MITCHELLS CAMP FAMILY ASSOC.,Failing
CA1300572,VALLEY MOBILE HOME PARK,Imperial,LPA43 - IMPERIAL COUNTY,LPA43 - IMPERIAL COUNTY,LPA43 - IMPERIAL COUNTY,MHP,Original,MHP,Mobile Home Park,,,,,VALLEY MOBILE HOME PARK,At-Risk
CA1600002,SUNSET VISTA ESTATES MHP,Kings,LPA46 - KINGS COUNTY,LPA46 - KINGS COUNTY,LPA46 - KINGS COUNTY,MHP,Original,MHP,Mobile Home Park,,,,,SUNSET VISTA ESTATES MHP,At-Risk
CA1900942,ALPINE SPRINGS MOBILE HOME PARK,Los Angeles,LPA49 - LA COUNTY,LPA49 - LA COUNTY,LPA49 - LA COUNTY,MHP,Original,MHP,Mobile Home Park,,,,,ALPINE SPRINGS MOBILE HOME PARK,Failing
CA1900975,CALI LAKE RV RESORT,Los Angeles,LPA49 - LA COUNTY,LPA49 - LA COUNTY,LPA49 - LA COUNTY,MHP,Original,MHP,Mobile Home Park,,,,,CALI LAKE RV RESORT,Failing
CA1900843,CALIFORNIAN MOBILE HOME PARK,Los Angeles,LPA49 - LA COUNTY,LPA49 - LA COUNTY,LPA49 - LA COUNTY,MHP,Original,MHP,Mobile Home Park,,,,,CALIFORNIAN MOBILE HOME PARK,At-Risk
CA1900529,CAMP WILLIAMS-RESORT WATER,Los Angeles,LPA49 - LA COUNTY,LPA49 - LA COUNTY,LPA49 - LA COUNTY,MHP,Original,MHP,Mobile Home Park,,,,,CAMP WILLIAMS-RESORT WATER,Not At-Risk
CA1900817,CLEAR SKIES MOBILE HOME PARK,Los Angeles,LPA49 - LA COUNTY,LPA49 - LA COUNTY,LPA49 - LA COUNTY,MHP,Original,MHP,Mobile Home Park,,,,,CLEAR SKIES MOBILE HOME PARK,At-Risk
CA1900636,EL RANCHO MOBILE HOME PARK,Los Angeles,LPA49 - LA COUNTY,LPA49 - LA COUNTY,LPA49 - LA COUNTY,MHP,Original,MHP,Mobile Home Park,,,,,EL RANCHO MOBILE HOME PARK,At-Risk
CA1900649,GOLDEN SANDS MOBILE HOME PARK,Los Angeles,LPA49 - LA COUNTY,LPA49 - LA COUNTY,LPA49 - LA COUNTY,MHP,Original,MHP,Mobile Home Park,,,,,GOLDEN SANDS MOBILE HOME PARK,Potentially At-Risk
CA1900038,LANCASTER PARK MOBILE HOME PARK,Los Angeles,LPA49 - LA COUNTY,LPA49 - LA COUNTY,LPA49 - LA COUNTY,MHP,Original,MHP,Mobile Home Park,,,,,LANCASTER PARK MOBILE HOME PARK,Failing
CA1900913,LILY OF THE VALLEY MOBILE VILLAGE,Los Angeles,LPA49 - LA COUNTY,LPA49 - LA COUNTY,LPA49 - LA COUNTY,MHP,Original,MHP,Mobile Home Park,,,,,LILY OF THE VALLEY MOBILE VILLAGE,Potentially At-Risk
CA1900785,MITCHELL'S AVENUE E MOBILE HOME PARK,Los Angeles,LPA49 - LA COUNTY,LPA49 - LA COUNTY,LPA49 - LA COUNTY,MHP,Original,MHP,Mobile Home Park,,,,,MITCHELL'S AVENUE E MOBILE HOME PARK,Failing
CA1900537,OAK GROVE FAMILY PARK,Los Angeles,LPA49 - LA COUNTY,LPA49 - LA COUNTY,LPA49 - LA COUNTY,MHP,Original,MHP,Mobile Home Park,,,,,OAK GROVE FAMILY PARK,At-Risk
CA1900868,RIVERS END TRAILER PARK,Los Angeles,LPA49 - LA COUNTY,LPA49 - LA COUNTY,LPA49 - LA COUNTY,MHP,Original,MHP,Mobile Home Park,,,,,RIVERS END TRAILER PARK,Potentially At-Risk
CA1900907,SHERWOOD MOBILE HOME PARK,Los Angeles,LPA49 - LA COUNTY,LPA49 - LA COUNTY,LPA49 - LA COUNTY,MHP,Original,MHP,Mobile Home Park,,,,,SHERWOOD MOBILE HOME PARK,Not At-Risk
CA1900520,THE VILLAGE MOBILE HOME PARK,Los Angeles,LPA49 - LA COUNTY,LPA49 - LA COUNTY,LPA49 - LA COUNTY,MHP,Original,MHP,Mobile Home Park,,,,,THE VILLAGE MOBILE HOME PARK,Failing
CA1900541,WESTERN SKIES MOBILE HOME PARK,Los Angeles,LPA49 - LA COUNTY,LPA49 - LA COUNTY,LPA49 - LA COUNTY,MHP,Original,MHP,Mobile Home Park,,,,,WESTERN SKIES MOBILE HOME PARK,At-Risk
CA1900961,WINTERHAVEN MOBILE ESTATES,Los Angeles,LPA49 - LA COUNTY,LPA49 - LA COUNTY,LPA49 - LA COUNTY,MHP,Original,MHP,Mobile Home Park,,,,,WINTERHAVEN MOBILE ESTATES,Failing
CA1900693,DESERT PALMS MOBILE HOME PARK,Los Angeles,LPA49 - LA COUNTY,#N/A,LPA49 - LA COUNTY,MHP,Original,MHP,Mobile Home Park,,,,,DESERT PALMS MOBILE HOME PARK,At-Risk
CA1900721,TERRA NOVA MOBILE HOME PARK,Los Angeles,LPA49 - LA COUNTY,#N/A,LPA49 - LA COUNTY,MHP,Original,MHP,Mobile Home Park,,,,,TERRA NOVA MOBILE HOME PARK,At-Risk
CA2000595,MADERA MH & RV PARK,Madera,LPA50 - MADERA COUNTY,LPA50 - MADERA COUNTY,LPA50 - MADERA COUNTY,MHP,Original,MHP,Mobile Home Park,,,,,MADERA MH & RV PARK,At-Risk
CA2000589,MAMMOTH POOL MOBILE HOME PARK,Madera,LPA50 - MADERA COUNTY,LPA50 - MADERA COUNTY,LPA50 - MADERA COUNTY,MHP,Original,MHP,Mobile Home Park,,,,,MAMMOTH POOL MOBILE HOME PARK,At-Risk
